name,height_inches,weight_pounds,height_meters,weight_kg
alex,65.78,112.99,1.670812,51.25136008
ajay,71.52,136.49,1.8166079999999998,61.91077208
alice,69.4,153.03,1.76276,69.41318376
ravi,68.22,142.34,1.732788,64.56428528000001
joe,67.79,144.3,1.7218660000000001,65.4533256
alex,65.78,112.99,1.670812,51.25136008
ajay,71.52,136.49,1.8166079999999998,61.91077208
alice,69.4,153.03,1.76276,69.41318376
ravi,68.22,142.34,1.732788,64.56428528000001
joe,67.79,144.3,1.7218660000000001,65.4533256
alex,65.78,112.99,1.670812,51.25136008
ajay,71.52,136.49,1.8166079999999998,61.91077208
alice,69.4,153.03,1.76276,69.41318376
ravi,68.22,142.34,1.732788,64.56428528000001
joe,67.79,144.3,1.7218660000000001,65.4533256
jack,68.7,123.3,1.74498,55.9278936
tom,69.8,141.49,1.7729199999999998,64.17873208
tracy,70.01,136.46,1.778254,61.89716432
john,67.9,112.37,1.72466,50.97013304
jack,68.7,123.3,1.74498,55.9278936
tom,69.8,141.49,1.7729199999999998,64.17873208
tracy,70.01,136.46,1.778254,61.89716432
john,67.9,112.37,1.72466,50.97013304
jack,68.7,123.3,1.74498,55.9278936
tom,69.8,141.49,1.7729199999999998,64.17873208
tracy,70.01,136.46,1.778254,61.89716432
john,67.9,112.37,1.72466,50.97013304
simon,67.90,112.37,1.72466,50.97013304
jacob,66.78,120.67,1.696212,54.73494664
cindy,66.49,127.45,1.6888459999999998,57.8103004
ivan,67.62,114.14,1.717548,51.77299088
simon,67.90,112.37,1.72466,50.97013304
jacob,66.78,120.67,1.696212,54.73494664
cindy,66.49,127.45,1.6888459999999998,57.8103004
ivan,67.62,114.14,1.717548,51.77299088
simon,67.90,112.37,1.72466,50.97013304
jacob,66.78,120.67,1.696212,54.73494664
cindy,66.49,127.45,1.6888459999999998,57.8103004
ivan,67.62,114.14,1.717548,51.77299088
